date,fips,cases,deaths
3/7/2020,53061,26,0
3/7/2020,53063,4,0
3/7/2020,53071,1,0
3/7/2020,55025,1,0
3/8/2020,4013,2,0
3/8/2020,4021,3,0
3/8/2020,6001,3,0
3/8/2020,6013,9,0
3/8/2020,6019,1,0
3/8/2020,6023,1,0
3/8/2020,6037,14,0
3/8/2020,6039,1,0
3/8/2020,6041,1,0
3/8/2020,6055,1,0
3/8/2020,6059,3,0
3/8/2020,6061,7,1
3/8/2020,6065,1,0
3/8/2020,6067,3,0
3/8/2020,6073,1,0
3/8/2020,6075,11,0
3/8/2020,6081,1,0
3/8/2020,6085,37,0
3/8/2020,6087,1,0
3/8/2020,6095,12,0
3/8/2020,6097,3,0
3/8/2020,6113,1,0
3/8/2020,8031,2,0
3/8/2020,8035,3,0
3/8/2020,8037,1,0
3/8/2020,8041,1,0
3/8/2020,8059,1,0
3/8/2020,9001,1,0
3/8/2020,11001,1,0
3/8/2020,12011,3,0
3/8/2020,12015,1,0
3/8/2020,12057,2,0
3/8/2020,12071,2,1
3/8/2020,12081,2,0
3/8/2020,12091,1,0
3/8/2020,12113,1,1
3/8/2020,12127,1,0
3/8/2020,13057,1,0
3/8/2020,13067,3,0
3/8/2020,13121,5,0
3/8/2020,13135,1,0
3/8/2020,13233,1,0
3/8/2020,15003,2,0
3/8/2020,17031,7,0
3/8/2020,18063,1,0
3/8/2020,18097,1,0
3/8/2020,19103,3,0
3/8/2020,20091,1,0
3/8/2020,21067,2,0
3/8/2020,21097,1,0
3/8/2020,21111,1,0
3/8/2020,24025,1,0
3/8/2020,24031,4,0
3/8/2020,25003,1,0
3/8/2020,25017,10,0
3/8/2020,25021,7,0
3/8/2020,25025,9,0
3/8/2020,25027,1,0
3/8/2020,27019,1,0
3/8/2020,27123,1,0
3/8/2020,29189,1,0
3/8/2020,31055,16,0
3/8/2020,32003,2,0
3/8/2020,32031,2,0
3/8/2020,33009,3,0
3/8/2020,33015,1,0
3/8/2020,34003,4,0
3/8/2020,34007,1,0
3/8/2020,34031,1,0
3/8/2020,36059,5,0
3/8/2020,,14,0
3/8/2020,36087,2,0
3/8/2020,36091,2,0
3/8/2020,36103,1,0
3/8/2020,36111,1,0
3/8/2020,36119,81,0
3/8/2020,37037,1,0
3/8/2020,37183,1,0
3/8/2020,40143,1,0
3/8/2020,41019,1,0
3/8/2020,41029,2,0
3/8/2020,41035,1,0
3/8/2020,41047,1,0
3/8/2020,41067,8,0
3/8/2020,42045,1,0
3/8/2020,42091,4,0
3/8/2020,42127,1,0
3/8/2020,,3,0
3/8/2020,45019,1,0
3/8/2020,45055,4,0
3/8/2020,45083,1,0
3/8/2020,47037,1,0
3/8/2020,47157,1,0
3/8/2020,47187,1,0
3/8/2020,48029,11,0
3/8/2020,48157,6,0
3/8/2020,48201,6,0
3/8/2020,49011,1,0
3/8/2020,49035,1,0
3/8/2020,49053,1,0
3/8/2020,50003,1,0
3/8/2020,51059,2,0
3/8/2020,53007,1,1
3/8/2020,53011,1,0
3/8/2020,53031,1,0
3/8/2020,53033,91,18
3/8/2020,53035,1,0
3/8/2020,53037,1,0
3/8/2020,53053,4,0
3/8/2020,53061,36,0
3/8/2020,53063,4,0
3/8/2020,53071,1,0
3/8/2020,55025,1,0
3/9/2020,4013,2,0
3/9/2020,4019,1,0
3/9/2020,4021,3,0
3/9/2020,6001,24,0
3/9/2020,6013,9,0
3/9/2020,6019,1,0
3/9/2020,6023,1,0
3/9/2020,6037,19,0
3/9/2020,6039,1,0
3/9/2020,6041,2,0
3/9/2020,6055,1,0
3/9/2020,6059,5,0
3/9/2020,6061,7,1
3/9/2020,6065,4,0
3/9/2020,6067,9,0
3/9/2020,6073,2,0
3/9/2020,6075,16,0
3/9/2020,6081,9,0
3/9/2020,6085,43,1
3/9/2020,6087,2,0
3/9/2020,6089,1,0
3/9/2020,6095,12,0
3/9/2020,6097,3,0
3/9/2020,6113,1,0
3/9/2020,8005,1,0
3/9/2020,8031,3,0
3/9/2020,8035,3,0
3/9/2020,8037,2,0
3/9/2020,8041,1,0
3/9/2020,8059,1,0
3/9/2020,8069,1,0
3/9/2020,9001,2,0
3/9/2020,11001,4,0
3/9/2020,12011,3,0
3/9/2020,12015,1,0
3/9/2020,12057,2,0
3/9/2020,12071,2,1
3/9/2020,12081,2,0
3/9/2020,12091,1,0
3/9/2020,12113,1,1
3/9/2020,12127,2,0
3/9/2020,13057,1,0
3/9/2020,13067,4,0
3/9/2020,13089,2,0
3/9/2020,13113,1,0
3/9/2020,13115,1,0
3/9/2020,13121,5,0
3/9/2020,13135,2,0
3/9/2020,13233,1,0
3/9/2020,15003,2,0
3/9/2020,17031,11,0
3/9/2020,18063,2,0
3/9/2020,18097,1,0
3/9/2020,18113,1,0
3/9/2020,19103,7,0
3/9/2020,19155,1,0
3/9/2020,20091,1,0
3/9/2020,21067,3,0
3/9/2020,21097,1,0
3/9/2020,21111,1,0
3/9/2020,22051,1,0
3/9/2020,24025,1,0
3/9/2020,24031,4,0
3/9/2020,24033,1,0
3/9/2020,25003,5,0
3/9/2020,25017,15,0
